manufacturer,camera,format,width,height
AJA,CION,Standard,22.5,11.9
Apertus,Axiom,Standard,17.3,13.0
ARRI,ALEXA,16:9,23.76,13.37
ARRI,ALEXA,4:3,23.76,17.82
ARRI,ALEXA 35,16:9,23.76,13.37
ARRI,ALEXA 35,3.3K 6:5,20.22,16.95
ARRI,ALEXA 35,4.6K 16:9,27.99,15.74
ARRI,ALEXA 35,4K 16:9,24.87,13.99
ARRI,ALEXA 35,4K 2:1,24.87,12.44
ARRI,ALEXA 35,Open Gate,27.99,19.22
ARRI,ALEXA 35,Super 16,12.44,6.99
ARRI,ALEXA 65,4.3K,35.64,23.76
ARRI,ALEXA 65,5.1K,42.24,23.76
ARRI,ALEXA 65,LF Open Gate,36.7,25.54
ARRI,ALEXA 65,Open Gate 6.5K,54.12,25.58
ARRI,ALEXA LF,LF 16:9,31.68,17.82
ARRI,ALEXA LF,LF 2.39:1 Scope,36.7,15.31
ARRI,ALEXA LF,LF Open Gate,36.7,25.54
ARRI,ALEXA M,16:9,23.76,13.37
ARRI,ALEXA M,4:3,23.76,17.82
ARRI,ALEXA Mini,16:9 4K UHD,26.4,14.85
ARRI,ALEXA Mini,16:9 HD/2K,23.76,13.37
ARRI,ALEXA Mini,4:3 2.8K,23.76,17.82
ARRI,ALEXA Mini,6:5 Anamorphic,21.12,17.7
ARRI,ALEXA Mini,Open Gate 3.4K,28.25,18.17
ARRI,ALEXA Mini,S16 HD,13.2,7.43
ARRI,ALEXA Mini LF,LF 16:9,31.68,17.82
ARRI,ALEXA Mini LF,LF 2.39:1 Scope,36.7,15.31
ARRI,ALEXA Mini LF,LF Open Gate,36.7,25.54
ARRI,ALEXA Plus,16:9,23.76,13.37
ARRI,ALEXA Plus,4:3,23.76,17.82
ARRI,ALEXA Studio,16:9,23.76,13.37
ARRI,ALEXA Studio,4:3,23.76,17.82
ARRI,ALEXA SXT,16:9 2.8K,23.76,13.37
ARRI,ALEXA SXT,16:9 3.2K ARRIRAW,26.14,14.7
ARRI,ALEXA SXT,16:9 4K UHD,26.4,14.85
ARRI,ALEXA SXT,4:3 2.8K,23.76,17.82
